NAMESPACE              LAST SEEN   TYPE      REASON                              OBJECT                                                         MESSAGE
monitoring             74d         Warning   NodeNotReady                        pod/alertmanager-monitorgrafana-kube-promet-alertmanager-0     Node is not ready
default                74d         Warning   NodeNotReady                        pod/nginx-676b6c5bbc-kcg8n                                     Node is not ready
kube-system            74d         Warning   NodeNotReady                        pod/headlamp-666485dd85-hpxln                                  Node is not ready
monitoring             74d         Warning   NodeNotReady                        pod/monitorgrafana-prometheus-node-exporter-8dgb6              Node is not ready
kube-system            74d         Normal    UpdatedLoadBalancer                 service/traefik                                                Updated LoadBalancer with new IPs: [192.168.0.25] -> [192.168.0.18 192.168.0.25]
kube-system            74d         Warning   NodeNotReady                        pod/kite-7cb79df49c-nth8h                                      Node is not ready
kube-system            74d         Warning   NodeNotReady                        pod/traefik-5cbdcf97f4-bbnx7                                   Node is not ready
argocd                 74d         Warning   NodeNotReady                        pod/argocd-notifications-controller-b9986964f-llxlm            Node is not ready
kube-system            74d         Warning   NodeNotReady                        pod/local-path-provisioner-5b5f758bcf-7hq92                    Node is not ready
pauhome                74d         Warning   NodeNotReady                        pod/web-595c7c58b5-9vs9d                                       Node is not ready
argocd                 74d         Warning   NodeNotReady                        pod/argocd-repo-server-95c9d69c6-2vxj4                         Node is not ready
cyclops                74d         Warning   NodeNotReady                        pod/cyclops-ctrl-8685b986c7-tmr5r                              Node is not ready
argocd                 74d         Normal    UpdatedLoadBalancer                 service/argocd-server                                          Updated LoadBalancer with new IPs: [192.168.0.25] -> [192.168.0.18 192.168.0.25]
monitoring             74d         Warning   Unhealthy                           pod/monitorgrafana-677d8d6465-tktwr                            Readiness probe failed: Get "http://10.42.2.118:3000/api/health": dial tcp 10.42.2.118:3000: connect: connection refused
kube-system            74d         Normal    UpdatedLoadBalancer                 service/traefik                                                Updated LoadBalancer with new IPs: [192.168.0.18 192.168.0.25] -> [192.168.0.18 192.168.0.25]
monitoring             74d         Normal    TaintManagerEviction                pod/loki-0                                                     Marking for deletion Pod monitoring/loki-0
argocd                 74d         Normal    TaintManagerEviction                pod/argocd-application-controller-0                            Marking for deletion Pod argocd/argocd-application-controller-0
monitoring             74d         Normal    TaintManagerEviction                pod/prometheus-monitorgrafana-kube-promet-prometheus-0         Marking for deletion Pod monitoring/prometheus-monitorgrafana-kube-promet-prometheus-0
kubernetes-dashboard   74d         Normal    Killing                             pod/kubernetes-dashboard-8696f5f494-js7b8                      Container kubernetes-dashboard failed liveness probe, will be restarted
kubernetes-dashboard   74d         Normal    Pulling                             pod/kubernetes-dashboard-8696f5f494-js7b8                      Pulling image "kubernetesui/dashboard:v2.7.0"
kubernetes-dashboard   74d         Normal    Pulled                              pod/kubernetes-dashboard-8696f5f494-js7b8                      Successfully pulled image "kubernetesui/dashboard:v2.7.0" in 945ms (950ms including waiting). Image size: 75788960 bytes.
kubernetes-dashboard   74d         Normal    Started                             pod/kubernetes-dashboard-8696f5f494-js7b8                      Started container kubernetes-dashboard
kubernetes-dashboard   74d         Normal    Created                             pod/kubernetes-dashboard-8696f5f494-js7b8                      Created container: kubernetes-dashboard
monitoring             74d         Warning   Unhealthy                           pod/loki-promtail-5dr6s                                        Readiness probe failed: Get "http://10.42.2.139:3101/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
default                74d         Normal    TaintManagerEviction                pod/testnet                                                    Marking for deletion Pod default/testnet
argocd                 74d         Normal    Pulling                             pod/argocd-server-84477d5958-z5nwc                             Pulling image "quay.io/argoproj/argocd:v3.1.1"
argocd                 74d         Warning   BackOff                             pod/argocd-server-84477d5958-z5nwc                             Back-off restarting failed container argocd-server in pod argocd-server-84477d5958-z5nwc_argocd(17f73213-6a33-4711-a57e-16b3436732fc)
monitoring             74d         Warning   BackOff                             pod/monitorgrafana-677d8d6465-tktwr                            Back-off restarting failed container grafana in pod monitorgrafana-677d8d6465-tktwr_monitoring(70ce476e-785e-4363-a2e4-69a553b0c7b7)
argocd                 74d         Warning   Unhealthy                           pod/argocd-server-84477d5958-z5nwc                             Readiness probe failed: Get "http://10.42.2.144:8888/healthz": dial tcp 10.42.2.144:8888: connect: connection refused
default                34m         Warning   PossibleMemoryBackedVolumesOnDisk   node/debianmaster                                              The tmpfs noswap option is not supported. Memory-backed volumes (e.g. secrets, emptyDirs, etc.) might be swapped to disk and should no longer be considered secure.
default                34m         Normal    Starting                            node/debianmaster                                              Starting kubelet.
argocd                 34m         Warning   FailedMount                         pod/argocd-server-84477d5958-z5nwc                             MountVolume.SetUp failed for volume "argocd-dex-server-tls" : object "argocd"/"argocd-dex-server-tls" not registered
default                34m         Normal    NodeAllocatableEnforced             node/debianmaster                                              Updated Node Allocatable limit across pods
default                34m         Normal    NodeHasSufficientMemory             node/debianmaster                                              Node debianmaster status is now: NodeHasSufficientMemory
default                34m         Normal    NodeHasNoDiskPressure               node/debianmaster                                              Node debianmaster status is now: NodeHasNoDiskPressure
default                34m         Normal    NodeHasSufficientPID                node/debianmaster                                              Node debianmaster status is now: NodeHasSufficientPID
kube-system            34m         Normal    SandboxChanged                      pod/kite-7cb79df49c-nth8h                                      Pod sandbox changed, it will be killed and re-created.
default                34m         Warning   Rebooted                            node/debianmaster                                              Node debianmaster has been rebooted, boot id: 69a20a1a-cbb0-4e05-ab10-d2f48ce59b2d
argocd                 34m         Warning   FailedMount                         pod/argocd-server-84477d5958-z5nwc                             MountVolume.SetUp failed for volume "argocd-cmd-params-cm" : object "argocd"/"argocd-cmd-params-cm" not registered
monitoring             34m         Normal    SandboxChanged                      pod/alertmanager-monitorgrafana-kube-promet-alertmanager-0     Pod sandbox changed, it will be killed and re-created.
monitoring             34m         Normal    Pulled                              pod/monitorgrafana-prometheus-node-exporter-8dgb6              Container image "quay.io/prometheus/node-exporter:v1.9.1" already present on machine
argocd                 34m         Warning   FailedMount                         pod/argocd-dex-server-55bdf84957-lbcgk                         MountVolume.SetUp failed for volume "argocd-dex-server-tls" : object "argocd"/"argocd-dex-server-tls" not registered
monitoring             34m         Warning   FailedMount                         pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          MountVolume.SetUp failed for volume "tls-secret" : object "monitoring"/"monitorgrafana-kube-promet-admission" not registered
monitoring             34m         Normal    SandboxChanged                      pod/monitorgrafana-prometheus-node-exporter-8dgb6              Pod sandbox changed, it will be killed and re-created.
argocd                 34m         Warning   FailedMount                         pod/argocd-notifications-controller-b9986964f-llxlm            MountVolume.SetUp failed for volume "kube-api-access-grvq2" : object "argocd"/"kube-root-ca.crt" not registered
kube-system            34m         Normal    Created                             pod/kite-7cb79df49c-nth8h                                      Created container: kite
kube-system            34m         Normal    SandboxChanged                      pod/metrics-server-7bf7d58749-v5vbk                            Pod sandbox changed, it will be killed and re-created.
monitoring             34m         Normal    SandboxChanged                      pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Pod sandbox changed, it will be killed and re-created.
monitoring             34m         Warning   FailedMount                         pod/monitorgrafana-677d8d6465-tktwr                            MountVolume.SetUp failed for volume "sc-dashboard-provider" : object "monitoring"/"monitorgrafana-config-dashboards" not registered
argocd                 34m         Normal    SandboxChanged                      pod/argocd-dex-server-55bdf84957-lbcgk                         Pod sandbox changed, it will be killed and re-created.
kube-system            34m         Normal    Started                             pod/kite-7cb79df49c-nth8h                                      Started container kite
monitoring             34m         Warning   FailedMount                         pod/monitorgrafana-677d8d6465-tktwr                            MountVolume.SetUp failed for volume "config" : object "monitoring"/"monitorgrafana" not registered
monitoring             34m         Normal    Created                             pod/monitorgrafana-prometheus-node-exporter-8dgb6              Created container: node-exporter
monitoring             34m         Normal    Started                             pod/monitorgrafana-prometheus-node-exporter-8dgb6              Started container node-exporter
kube-system            34m         Normal    Pulled                              pod/kite-7cb79df49c-nth8h                                      Container image "ghcr.io/zxh326/kite:latest" already present on machine
pauhome                34m         Warning   FailedMount                         pod/web-595c7c58b5-9vs9d                                       MountVolume.SetUp failed for volume "kube-api-access-42rlr" : object "pauhome"/"kube-root-ca.crt" not registered
pauhome                34m         Warning   FailedMount                         pod/web-595c7c58b5-mcb6x                                       MountVolume.SetUp failed for volume "kube-api-access-tkx2j" : object "pauhome"/"kube-root-ca.crt" not registered
cyclops                34m         Warning   FailedMount                         pod/cyclops-ctrl-8685b986c7-tmr5r                              MountVolume.SetUp failed for volume "kube-api-access-9nt5h" : object "cyclops"/"kube-root-ca.crt" not registered
monitoring             34m         Normal    Pulled                              pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Container image "quay.io/prometheus-operator/prometheus-operator:v0.85.0" already present on machine
kubernetes-dashboard   34m         Warning   FailedMount                         pod/kubernetes-dashboard-8696f5f494-js7b8                      MountVolume.SetUp failed for volume "kube-api-access-2s669" : object "kubernetes-dashboard"/"kube-root-ca.crt" not registered
kube-system            34m         Normal    SandboxChanged                      pod/headlamp-666485dd85-hpxln                                  Pod sandbox changed, it will be killed and re-created.
monitoring             34m         Normal    Pulled                              pod/alertmanager-monitorgrafana-kube-promet-alertmanager-0     Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.85.0" already present on machine
kubernetes-dashboard   34m         Warning   FailedMount                         pod/dashboard-metrics-scraper-6b96ff7878-4r6ks                 MountVolume.SetUp failed for volume "kube-api-access-t85ff" : object "kubernetes-dashboard"/"kube-root-ca.crt" not registered
pauhome                34m         Warning   FailedMount                         pod/web-595c7c58b5-n4kjr                                       MountVolume.SetUp failed for volume "kube-api-access-mhpb9" : object "pauhome"/"kube-root-ca.crt" not registered
monitoring             34m         Normal    Created                             pod/alertmanager-monitorgrafana-kube-promet-alertmanager-0     Created container: init-config-reloader
monitoring             34m         Normal    Started                             pod/alertmanager-monitorgrafana-kube-promet-alertmanager-0     Started container init-config-reloader
pauhome                34m         Warning   FailedMount                         pod/web-595c7c58b5-vpjgw                                       MountVolume.SetUp failed for volume "kube-api-access-k9qvf" : object "pauhome"/"kube-root-ca.crt" not registered
cyclops                34m         Warning   FailedMount                         pod/cyclops-ui-97ffc847c-qz262                                 MountVolume.SetUp failed for volume "kube-api-access-x9t4s" : object "cyclops"/"kube-root-ca.crt" not registered
kube-system            34m         Normal    Pulled                              pod/metrics-server-7bf7d58749-v5vbk                            Container image "rancher/mirrored-metrics-server:v0.7.2" already present on machine
pauhome                34m         Warning   FailedMount                         pod/web-595c7c58b5-zrmcp                                       MountVolume.SetUp failed for volume "kube-api-access-6kp2r" : object "pauhome"/"kube-root-ca.crt" not registered
kubernetes-dashboard   34m         Warning   FailedMount                         pod/kubernetes-dashboard-8696f5f494-js7b8                      MountVolume.SetUp failed for volume "kubernetes-dashboard-certs" : object "kubernetes-dashboard"/"kubernetes-dashboard-certs" not registered
argocd                 34m         Warning   FailedMount                         pod/argocd-repo-server-95c9d69c6-2vxj4                         MountVolume.SetUp failed for volume "ssh-known-hosts" : object "argocd"/"argocd-ssh-known-hosts-cm" not registered
kube-system            34m         Normal    Created                             pod/metrics-server-7bf7d58749-v5vbk                            Created container: metrics-server
argocd                 34m         Warning   FailedMount                         pod/argocd-server-84477d5958-z5nwc                             MountVolume.SetUp failed for volume "argocd-repo-server-tls" : object "argocd"/"argocd-repo-server-tls" not registered
kube-system            34m         Normal    Pulling                             pod/headlamp-666485dd85-hpxln                                  Pulling image "ghcr.io/headlamp-k8s/headlamp:latest"
argocd                 34m         Warning   FailedMount                         pod/argocd-applicationset-controller-75c59fc666-bkzbt          MountVolume.SetUp failed for volume "ssh-known-hosts" : object "argocd"/"argocd-ssh-known-hosts-cm" not registered
argocd                 34m         Warning   FailedMount                         pod/argocd-notifications-controller-b9986964f-llxlm            MountVolume.SetUp failed for volume "argocd-repo-server-tls" : object "argocd"/"argocd-repo-server-tls" not registered
argocd                 34m         Warning   FailedMount                         pod/argocd-notifications-controller-b9986964f-llxlm            MountVolume.SetUp failed for volume "tls-certs" : object "argocd"/"argocd-tls-certs-cm" not registered
kube-system            34m         Normal    Started                             pod/metrics-server-7bf7d58749-v5vbk                            Started container metrics-server
monitoring             34m         Normal    Started                             pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Started container kube-prometheus-stack
monitoring             34m         Normal    Created                             pod/monitorgrafana-kube-promet-operator-7fffcb5-d4rhz          Created container: kube-prometheus-stack
argocd                 34m         Normal    Created                             pod/argocd-dex-server-55bdf84957-lbcgk                         Created container: copyutil
argocd                 34m         Normal    Pulled                              pod/argocd-dex-server-55bdf84957-lbcgk                         Successfully pulled image "quay.io/argoproj/argocd:v3.1.1" in 652ms (652ms including waiting). Image size: 191031950 bytes.
argocd                 34m         Warning   FailedMount                         pod/argocd-applicationset-controller-75c59fc666-bkzbt          MountVolume.SetUp failed for volume "argocd-repo-server-tls" : object "argocd"/"argocd-repo-server-tls" not registered
kube-system            34m         Normal    SandboxChanged                      pod/svclb-argocd-server-28f86d56-4jt9k                         Pod sandbox changed, it will be killed and re-created.
argocd                 34m         Warning   FailedMount                         pod/argocd-repo-server-95c9d69c6-2vxj4                         MountVolume.SetUp failed for volume "tls-certs" : object "argocd"/"argocd-tls-certs-cm" not registered
argocd                 34m         Warning   FailedMount                         pod/argocd-server-84477d5958-z5nwc                             MountVolume.SetUp failed for volume "tls-certs" : object "argocd"/"argocd-tls-certs-cm" not registered
monitoring             34m         Warning   FailedMount                         pod/loki-promtail-5dr6s                                        MountVolume.SetUp failed for volume "config" : object "monitoring"/"loki-promtail" not registered
argocd                 34m         Warning   FailedMount                         pod/argocd-server-84477d5958-z5nwc                             MountVolume.SetUp failed for volume "ssh-known-hosts" : object "argocd"/"argocd-ssh-known-hosts-cm" not registered
argocd                 34m         Warning   FailedMount                         pod/argocd-repo-server-95c9d69c6-2vxj4                         MountVolume.SetUp failed for volume "argocd-repo-server-tls" : object "argocd"/"argocd-repo-server-tls" not registered
argocd                 34m         Warning   FailedMount                         pod/argocd-applicationset-controller-75c59fc666-bkzbt          MountVolume.SetUp failed for volume "tls-certs" : object "argocd"/"argocd-tls-certs-cm" not registered
argocd                 34m         Normal    Pulling                             pod/argocd-dex-server-55bdf84957-lbcgk                         Pulling image "quay.io/argoproj/argocd:v3.1.1"
monitoring             34m         Normal    SandboxChanged                      pod/monitorgrafana-677d8d6465-tktwr                            Pod sandbox changed, it will be killed and re-created.
kubernetes-dashboard   34m         Normal    SandboxChanged                      pod/dashboard-metrics-scraper-6b96ff7878-4r6ks                 Pod sandbox changed, it will be killed and re-created.
argocd                 34m         Normal    SandboxChanged                      pod/argocd-redis-65b9d6c547-xqlsp                              Pod sandbox changed, it will be killed and re-created.
argocd                 34m         Normal    Started                             pod/argocd-dex-server-55bdf84957-lbcgk                         Started container copyutil
pauhome                34m         Normal    SandboxChanged                      pod/web-595c7c58b5-vpjgw                                       Pod sandbox changed, it will be killed and re-created.
monitoring             34m         Normal    SandboxChanged                      pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Pod sandbox changed, it will be killed and re-created.
pauhome                34m         Normal    SandboxChanged                      pod/web-595c7c58b5-9vs9d                                       Pod sandbox changed, it will be killed and re-created.
cyclops                34m         Normal    SandboxChanged                      pod/cyclops-ctrl-8685b986c7-tmr5r                              Pod sandbox changed, it will be killed and re-created.
kube-system            34m         Normal    Pulled                              pod/svclb-argocd-server-28f86d56-4jt9k                         Container image "rancher/klipper-lb:v0.4.10" already present on machine
kube-system            34m         Normal    SandboxChanged                      pod/svclb-traefik-cd2bf767-2k6jc                               Pod sandbox changed, it will be killed and re-created.
monitoring             34m         Normal    Pulled                              pod/monitorgrafana-677d8d6465-tktwr                            Container image "quay.io/kiwigrid/k8s-sidecar:1.30.3" already present on machine
kube-system            34m         Normal    Started                             pod/svclb-argocd-server-28f86d56-4jt9k                         Started container lb-tcp-8082
kube-system            34m         Normal    Created                             pod/svclb-argocd-server-28f86d56-4jt9k                         Created container: lb-tcp-8082
monitoring             34m         Normal    Pulled                              pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.16.0" already present on machine
monitoring             34m         Normal    Created                             pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Created container: kube-state-metrics
cyclops                34m         Normal    Pulled                              pod/cyclops-ctrl-8685b986c7-tmr5r                              Container image "cyclopsui/cyclops-ctrl:v0.21.1" already present on machine
cyclops                34m         Normal    Created                             pod/cyclops-ctrl-8685b986c7-tmr5r                              Created container: cyclops-ctrl
monitoring             34m         Normal    Started                             pod/monitorgrafana-kube-state-metrics-995596c59-b56pm          Started container kube-state-metrics
cyclops                34m         Normal    SandboxChanged                      pod/cyclops-ui-97ffc847c-qz262                                 Pod sandbox changed, it will be killed and re-created.
monitoring             34m         Normal    Created                             pod/monitorgrafana-677d8d6465-tktwr                            Created container: grafana-sc-dashboard
pauhome                34m         Normal    Pulled                              pod/web-595c7c58b5-9vs9d                                       Container image "nginx:stable" already present on machine
kubernetes-dashboard   34m         Normal    Pulled                              pod/dashboard-metrics-scraper-6b96ff7878-4r6ks                 Container image "kubernetesui/metrics-scraper:v1.0.8" already present on machine
kube-system            34m         Warning   FailedMount                         pod/coredns-ccb96694c-2mrz9                                    MountVolume.SetUp failed for volume "custom-config-volume" : object "kube-system"/"coredns-custom" not registered
kube-system            34m         Warning   FailedMount                         pod/coredns-ccb96694c-2mrz9                                    MountVolume.SetUp failed for volume "config-volume" : object "kube-system"/"coredns" not registered
kube-system            34m         Warning   FailedMount                         pod/local-path-provisioner-5b5f758bcf-7hq92                    MountVolume.SetUp failed for volume "config-volume" : object "kube-system"/"local-path-config" not registered
cyclops                34m         Normal    Started                             pod/cyclops-ctrl-8685b986c7-tmr5r                              Started container cyclops-ctrl
pauhome                34m         Normal    Created                             pod/web-595c7c58b5-9vs9d                                       Created container: web
argocd                 34m         Normal    SandboxChanged                      pod/argocd-server-84477d5958-z5nwc                             Pod sandbox changed, it will be killed and re-created.
monitoring             34m         Normal    Started                             pod/monitorgrafana-677d8d6465-tktwr                            Started container grafana-sc-dashboard
argocd                 34m         Warning   FailedMount                         pod/argocd-repo-server-95c9d69c6-2vxj4                         MountVolume.SetUp failed for volume "gpg-keys" : object "argocd"/"argocd-gpg-keys-cm" not registered
pauhome                34m         Normal    Pulled                              pod/web-595c7c58b5-vpjgw                                       Container image "nginx:stable" already present on machine
monitoring             34m         Normal    Pulled                              pod/monitorgrafana-677d8d6465-tktwr                            Container image "quay.io/kiwigrid/k8s-sidecar:1.30.3" already present on machine
kubernetes-dashboard   34m         Normal    Created                             pod/dashboard-metrics-scraper-6b96ff7878-4r6ks                 Created container: dashboard-metrics-scraper
argocd                 34m         Warning   FailedMount                         pod/argocd-applicationset-controller-75c59fc666-bkzbt          MountVolume.SetUp failed for volume "gpg-keys" : object "argocd"/"argocd-gpg-keys-cm" not registered
monitoring             34m         Normal    SandboxChanged                      pod/loki-promtail-5dr6s                                        Pod sandbox changed, it will be killed and re-created.
kubernetes-dashboard   34m         Normal    SandboxChanged                      pod/kubernetes-dashboard-8696f5f494-js7b8                      Pod sandbox changed, it will be killed and re-created.
monitoring             34m         Normal    Created                             pod/monitorgrafana-677d8d6465-tktwr                            Created container: grafana-sc-datasources
pauhome                34m         Normal    Created                             pod/web-595c7c58b5-vpjgw                                       Created container: web
kubernetes-dashboard   34m         Normal    Started                             pod/dashboard-metrics-scraper-6b96ff7878-4r6ks                 Started container dashboard-metrics-scraper
pauhome                34m         Normal    Started                             pod/web-595c7c58b5-9vs9d                                       Started container web
argocd                 34m         Normal    Pulled                              pod/argocd-redis-65b9d6c547-xqlsp                              Container image "quay.io/argoproj/argocd:v3.1.1" already present on machine
argocd                 34m         Normal    SandboxChanged                      pod/argocd-notifications-controller-b9986964f-llxlm            Pod sandbox changed, it will be killed and re-created.
default                34m         Warning   FailedMount                         pod/hello-world-795988dcf6-gjhr9                               MountVolume.SetUp failed for volume "kube-api-access-2psn5" : object "default"/"kube-root-ca.crt" not registered
default                34m         Warning   FailedMount                         pod/nginx-676b6c5bbc-kcg8n                                     MountVolume.SetUp failed for volume "kube-api-access-2b8qk" : object "default"/"kube-root-ca.crt" not registered
argocd                 34m         Normal    Created                             pod/argocd-redis-65b9d6c547-xqlsp                              Created container: secret-init
pauhome                34m         Normal    SandboxChanged                      pod/web-595c7c58b5-zrmcp                                       Pod sandbox changed, it will be killed and re-created.
monitoring             34m         Normal    Started                             pod/monitorgrafana-677d8d6465-tktwr                            Started container grafana-sc-datasources
pauhome                34m         Normal    Started                             pod/web-595c7c58b5-vpjgw                                       Started container web
kube-system            34m         Normal    Pulled                              pod/svclb-traefik-cd2bf767-2k6jc                               Container image "rancher/klipper-lb:v0.4.10" already present on machine
argocd                 34m         Normal    Started                             pod/argocd-redis-65b9d6c547-xqlsp                              Started container secret-init
kubernetes-dashboard   34m         Normal    Pulling                             pod/kubernetes-dashboard-8696f5f494-js7b8                      Pulling image "kubernetesui/dashboard:v2.7.0"
monitoring             34m         Normal    Pulled                              pod/loki-promtail-5dr6s                                        Container image "docker.io/grafana/promtail:2.9.3" already present on machine
argocd                 34m         Normal    Pulling                             pod/argocd-server-84477d5958-z5nwc                             Pulling image "quay.io/argoproj/argocd:v3.1.1"
kube-system            34m         Normal    Created                             pod/svclb-traefik-cd2bf767-2k6jc                               Created container: lb-tcp-80
argocd                 34m         Normal    Pulling                             pod/argocd-notifications-controller-b9986964f-llxlm            Pulling image "quay.io/argoproj/argocd:v3.1.1"
kube-system            34m         Normal    Started                             pod/svclb-traefik-cd2bf767-2k6jc                               Started container lb-tcp-80
kube-system            34m         Normal    Pulled                              pod/svclb-traefik-cd2bf767-2k6jc                               Container image "rancher/klipper-lb:v0.4.10" already present on machine
monitoring             34m         Normal    Created                             pod/loki-promtail-5dr6s                                        Created container: promtail
monitoring             34m         Normal    Started                             pod/monitorgrafana-677d8d6465-tktwr                            Started container grafana
kube-system            34m         Normal    Created                             pod/svclb-traefik-cd2bf767-2k6jc                               Created container: lb-tcp-443
kubernetes-dashboard   34m         Normal    Pulled                              pod/kubernetes-dashboard-8696f5f494-js7b8                      Successfully pulled image "kubernetesui/dashboard:v2.7.0" in 2.47s (2.47s including waiting). Image size: 75788960 bytes.
argocd                 34m         Normal    Pulled                              pod/argocd-server-84477d5958-z5nwc                             Successfully pulled image "quay.io/argoproj/argocd:v3.1.1" in 2.279s (2.279s including waiting). Image size: 191031950 bytes.
monitoring             34m         Normal    Started                             pod/loki-promtail-5dr6s                                        Started container promtail
argocd                 34m         Normal    Pulled                              pod/argocd-notifications-controller-b9986964f-llxlm            Successfully pulled image "quay.io/argoproj/argocd:v3.1.1" in 2.111s (2.112s including waiting). Image size: 191031950 bytes.
pauhome                34m         Normal    Created                             pod/web-595c7c58b5-zrmcp                                       Created container: web
kube-system            34m         Normal    Started                             pod/svclb-traefik-cd2bf767-2k6jc                               Started container lb-tcp-443
argocd                 34m         Normal    Created                             pod/argocd-notifications-controller-b9986964f-llxlm            Created container: argocd-notifications-controller
pauhome                34m         Normal    Pulled                              pod/web-595c7c58b5-zrmcp                                       Container image "nginx:stable" already present on machine
argocd                 34m         Normal    Created                             pod/argocd-server-84477d5958-z5nwc                             Created container: argocd-server
kubernetes-dashboard   34m         Normal    Created                             pod/kubernetes-dashboard-8696f5f494-js7b8                      Created container: kubernetes-dashboard
pauhome                34m         Normal    Started                             pod/web-595c7c58b5-zrmcp                                       Started container web
argocd                 34m         Normal    Started                             pod/argocd-notifications-controller-b9986964f-llxlm            Started container argocd-notifications-controller
argocd                 34m         Normal    Started                             pod/argocd-server-84477d5958-z5nwc                             Started container argocd-server
kubernetes-dashboard   34m         Normal    Started                             pod/kubernetes-dashboard-8696f5f494-js7b8                      Started container kubernetes-dashboard
pauhome                34m         Normal    SandboxChanged                      pod/web-595c7c58b5-mcb6x                                       Pod sandbox changed, it will be killed and re-created.
argocd                 34m         Normal    SandboxChanged                      pod/argocd-applicationset-controller-75c59fc666-bkzbt          Pod sandbox changed, it will be killed and re-created.
kube-system            34m         Normal    SandboxChanged                      pod/local-path-provisioner-5b5f758bcf-7hq92                    Pod sandbox changed, it will be killed and re-created.
default                34m         Warning   NodePasswordValidationFailed        node/debianmaster                                              Deferred node password secret validation failed: secrets "debianmaster.node-password.k3s" already exists
kube-system            34m         Normal    SandboxChanged                      pod/coredns-ccb96694c-2mrz9                                    Pod sandbox changed, it will be killed and re-created.
kube-system            34m         Normal    SandboxChanged                      pod/traefik-5cbdcf97f4-bbnx7                                   Pod sandbox changed, it will be killed and re-created.
default                34m         Normal    SandboxChanged                      pod/nginx-676b6c5bbc-kcg8n                                     Pod sandbox changed, it will be killed and re-created.
pauhome                34m         Normal    SandboxChanged                      pod/web-595c7c58b5-n4kjr                                       Pod sandbox changed, it will be killed and re-created.
default                34m         Normal    SandboxChanged                      pod/hello-world-795988dcf6-gjhr9                               Pod sandbox changed, it will be killed and re-created.
kube-system            34m         Normal    ApplyingManifest                    addon/ccm                                                      Applying manifest at "/var/lib/rancher/k3s/server/manifests/ccm.yaml"
kube-system            34m         Normal    Pulled                              pod/coredns-ccb96694c-2mrz9                                    Container image "rancher/mirrored-coredns-coredns:1.12.0" already present on machine
argocd                 34m         Normal    SandboxChanged                      pod/argocd-repo-server-95c9d69c6-2vxj4                         Pod sandbox changed, it will be killed and re-created.
kube-system            34m         Normal    Created                             pod/coredns-ccb96694c-2mrz9                                    Created container: coredns
kube-system            34m         Normal    Pulled                              pod/traefik-5cbdcf97f4-bbnx7                                   Container image "rancher/mirrored-library-traefik:2.11.20" already present on machine
default                34m         Normal    NodePasswordValidationComplete      node/debianmaster                                              Deferred node password secret validation complete
kube-system            34m         Normal    Created                             pod/traefik-5cbdcf97f4-bbnx7                                   Created container: traefik
kube-system            34m         Normal    Created                             pod/local-path-provisioner-5b5f758bcf-7hq92                    Created container: local-path-provisioner
kube-system            34m         Normal    Pulled                              pod/local-path-provisioner-5b5f758bcf-7hq92                    Container image "rancher/local-path-provisioner:v0.0.31" already present on machine
kube-system            34m         Normal    Started                             pod/coredns-ccb96694c-2mrz9                                    Started container coredns
kube-system            34m         Normal    Started                             pod/local-path-provisioner-5b5f758bcf-7hq92                    Started container local-path-provisioner
argocd                 34m         Normal    Pulling                             pod/argocd-applicationset-controller-75c59fc666-bkzbt          Pulling image "quay.io/argoproj/argocd:v3.1.1"
default                34m         Normal    Pulled                              pod/hello-world-795988dcf6-gjhr9                               Container image "gcr.io/google-samples/hello-app:1.0" already present on machine
pauhome                34m         Normal    Created                             pod/web-595c7c58b5-mcb6x                                       Created container: web
kube-system            34m         Normal    Started                             pod/traefik-5cbdcf97f4-bbnx7                                   Started container traefik
default                34m         Normal    Pulling                             pod/nginx-676b6c5bbc-kcg8n                                     Pulling image "nginx"
pauhome                34m         Normal    Pulled                              pod/web-595c7c58b5-mcb6x                                       Container image "nginx:stable" already present on machine
pauhome                34m         Normal    Pulled                              pod/web-595c7c58b5-n4kjr                                       Container image "nginx:stable" already present on machine
argocd                 34m         Normal    Pulled                              pod/argocd-repo-server-95c9d69c6-2vxj4                         Container image "quay.io/argoproj/argocd:v3.1.1" already present on machine
pauhome                34m         Normal    Created                             pod/web-595c7c58b5-n4kjr                                       Created container: web
pauhome                34m         Normal    Started                             pod/web-595c7c58b5-n4kjr                                       Started container web
default                34m         Normal    Started                             pod/hello-world-795988dcf6-gjhr9                               Started container hello-app
pauhome                34m         Normal    Started                             pod/web-595c7c58b5-mcb6x                                       Started container web
default                34m         Normal    Created                             pod/hello-world-795988dcf6-gjhr9                               Created container: hello-app
argocd                 34m         Normal    Pulled                              pod/argocd-applicationset-controller-75c59fc666-bkzbt          Successfully pulled image "quay.io/argoproj/argocd:v3.1.1" in 1.354s (1.354s including waiting). Image size: 191031950 bytes.
